Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,row_id,image_file,image_abs,image_exists,artifact_id,group_key,name_raw,name_norm,material_raw,material_norm,fragm_raw,fragm_norm,raw_label,norm_label,label_is_missing,label_is_uncertain,group_has_conflict,is_very_rare,quality_flag,split
1242,БП12-Г01-0767,Крышка,Сосуда фарфорового крышка,Фарфор,Д7 см,Целый,Горизонт 1/ Темная гумусированная супесь с включением щепы и кирпичной крошки,,,152,dataset/БП12-Г01-0767_orig.jpg,cu_data/dataset/БП12-Г01-0767_orig.jpg,True,БП12-Г01-0767,БП12-Г01-0767,Крышка,крышка,Фарфор,фарфор,Целый,целый,Крышка,крышка,False,False,False,False,ok,pool_candidate
1289,БП12-Г01-0956,Миска,Миски красноглиняной профиль,Красноглиняная керамика,"Д15-13; высота 2,3 см",Фрагмент,Горизонт 1/ темный гумусированный суглинок с кирпичной крошкой,,,157,dataset/БП12-Г01-0956_orig.jpg,cu_data/dataset/БП12-Г01-0956_orig.jpg,True,БП12-Г01-0956,БП12-Г01-0956,Миска,миска,Красноглиняная керамика,керамика,Фрагмент,фрагмент,Миска,миска,False,False,False,False,ok,pool_candidate
1421,БП12-Г01-2476,Тарелка,Тарелки фаянсовой с рельефным краем и кобальтовой росписью профиль с клеймом,Фаянс,Д25-14 см,Фрагмент,Горизонт 1/ мешаный гумусированный суглинок с кирпичной крошкой,,,170,dataset/БП12-Г01-2476_orig.jpg,cu_data/dataset/БП12-Г01-2476_orig.jpg,True,БП12-Г01-2476,БП12-Г01-2476,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate
1502,БП12-Г01-3461,Крышка,Сосуда красноглиняного крышки с коричневой поливой внутри и снаружи края фр-т,Красноглиняная керамика,,Фрагмент,Горизонт 1/ Темный гумусированный суглинок с кирпичной крошкой,,,177,dataset/БП12-Г01-3461_orig.jpg,cu_data/dataset/БП12-Г01-3461_orig.jpg,True,БП12-Г01-3461,БП12-Г01-3461,Крышка,крышка,Красноглиняная керамика,керамика,Фрагмент,фрагмент,Крышка,крышка,False,False,False,False,ok,pool_candidate
1503,БП12-Г01-3462,Блюдце,Блюдца фаянсового с росписью профиль,Фаянс,Д17-10 см,Фрагмент,Горизонт 1/ Темный гумусированный суглинок с кирпичной крошкой,,,178,dataset/БП12-Г01-3462_orig.jpg,cu_data/dataset/БП12-Г01-3462_orig.jpg,True,БП12-Г01-3462,БП12-Г01-3462,Блюдце,блюдце,Фаянс,фаянс,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate
1520,БП12-Г01-3577,Тарелка,Тарелки фаянсовой с клеймом донца фр-т,Фаянс,,Фрагмент,Горизонт 1/ темная гумусированная супесь со щепой и кирпичом,,,180,dataset/БП12-Г01-3577_orig.jpg,cu_data/dataset/БП12-Г01-3577_orig.jpg,True,БП12-Г01-3577,БП12-Г01-3577,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate
1622,БП12-Г01-5844,Тарелка,Тарелки фаянсовой с клеймом и инициалами донца фр-т,Фаянс,Д9 см,Фрагмент,Горизонт 1/ темная гумусированная супесь с включением строительного мусора,,,186,dataset/БП12-Г01-5844_orig.jpg,cu_data/dataset/БП12-Г01-5844_orig.jpg,True,БП12-Г01-5844,БП12-Г01-5844,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate
1687,БП12-Г01-6524,Блюдце,Блюдца фаянсового профиль,Фаянс,"Д14-7,5 см",Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,196,dataset/БП12-Г01-6524_orig.jpg,cu_data/dataset/БП12-Г01-6524_orig.jpg,True,БП12-Г01-6524,БП12-Г01-6524,Блюдце,блюдце,Фаянс,фаянс,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate
1734,БП12-Г01-6940,Игрушка,Игрушки резиновой фр-т,Резина,длина 8+ см,Фрагмент,Горизонт 1/ темная гумусированная супесь со щепой и кирпичной крошкой,,,201,dataset/БП12-Г01-6940_orig.jpg,cu_data/dataset/БП12-Г01-6940_orig.jpg,True,БП12-Г01-6940,БП12-Г01-6940,Игрушка,игрушка,Резина,резина,Фрагмент,фрагмент,Игрушка,игрушка,False,False,False,False,ok,pool_candidate
1757,БП12-Г01-7262,Крышка,Сосуда фаянсового крышка фрагментированная,Фаянс,"Д7,5-5 см",Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,210,dataset/БП12-Г01-7262_orig.jpg,cu_data/dataset/БП12-Г01-7262_orig.jpg,True,БП12-Г01-7262,БП12-Г01-7262,Крышка,крышка,Фаянс,фаянс,Фрагмент,фрагмент,Крышка,крышка,False,False,False,False,ok,pool_candidate
