split,image_file,group_key,true_label,pred_label,pred_id,confidence,max_probability,entropy,margin,sample_loss,correct,material_group_pred,material_group_confidence,fragm_norm_pred,fragm_norm_confidence,code,name_raw,name_norm,material_raw,material_norm,material_group,fragm_raw,fragm_norm,quality_flag,label_is_uncertain,group_has_conflict,is_very_rare,layout_mode,foreground_ratio,bg_type,has_scale_bar,has_overlay_text
val_gold,dataset/Кроп-2013-186_orig.jpg,Кроп-2013-186,крышка,крышка,3,0.9693668484687805,0.9693668484687805,0.18011975288391113,0.9540449976921082,0.031112149357795715,True,фарфор_фаянс,0.5436086058616638,фрагмент,0.6946913599967957,Кроп-2013-186,Крышка,крышка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,ok,False,False,False,multi-view,0.233815,white,True,True
val_gold,dataset/Нейш3А-2018-1390_orig.jpg,Нейш3А-2018-1390,миска,миска,4,0.9657175540924072,0.9657175540924072,0.1981121003627777,0.9481058716773987,0.03488387539982796,True,керамика,0.9946678876876831,фрагмент,0.9920411705970764,Нейш3А-2018-1390,Миска,миска,Керамика,керамика,керамика,Фрагмент,фрагмент,ok,False,False,False,multi-view,0.376001,white,True,True
val_gold,dataset/КБ-2014-Р1-0094_orig.jpg,КБ-2014-Р1,плитка,плитка,5,0.9645898938179016,0.9645898938179016,0.20494022965431213,0.9509300589561462,0.03605226054787636,True,керамика,0.9682711958885193,целый,0.7757691740989685,КБ-2014-Р1-0094,Плитка,плитка,Глина,глина,керамика,Целый,целый,group_conflict,False,True,False,multi-view,0.462019,white,False,True
val_gold,dataset/М102-2012-1-0949_orig.jpg,М102-2012-1,изразец,изразец,2,0.9635068774223328,0.9635068774223328,0.20583194494247437,0.942615807056427,0.03717563673853874,True,керамика,0.9971700310707092,фрагмент,0.9946542978286743,М102-2012-1-0949,Изразец,изразец,Керамика,керамика,керамика,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.223087,white,False,False
val_gold,dataset/КБ-2014-Р6-068_orig.jpg,КБ-2014-Р6,крышка,крышка,3,0.961168646812439,0.961168646812439,0.20829235017299652,0.9363420009613037,0.03960539773106575,True,фарфор_фаянс,0.9802002906799316,фрагмент,0.5259509086608887,КБ-2014-Р6-068,Крышка,крышка,Фарфор,фарфор,фарфор_фаянс,Целый,целый,group_conflict,False,True,False,multi-view,0.190404,white,True,True
val_gold,dataset/Нц-46-375_orig.jpg,Нц-46-375,тарелка,тарелка,6,0.9607536196708679,0.9607536196708679,0.22044089436531067,0.9413988590240479,0.04003727063536644,True,фарфор_фаянс,0.9923428893089294,фрагмент,0.9973914623260498,Нц-46-375,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,ok,False,False,False,single-fragment,0.242283,white,False,False
val_gold,dataset/М102-2012-1-0847_orig.jpg,М102-2012-1,тарелка,тарелка,6,0.9591266512870789,0.9591266512870789,0.22884908318519592,0.9373752474784851,0.041732147336006165,True,фарфор_фаянс,0.9756912589073181,фрагмент,0.9986340403556824,М102-2012-1-0847,Тарелка,тарелка,Фаянс,фаянс,фарфор_фаянс,Фрагмент,фрагмент,group_conflict,False,True,False,multi-view,0.245573,white,True,True
val_gold,dataset/Нц-30-935_orig.jpg,Нц-30-935,изразец,изразец,2,0.9560522437095642,0.9560522437095642,0.23404145240783691,0.9292210936546326,0.0449427105486393,True,керамика,0.9930527806282043,фрагмент,0.9938793182373047,Нц-30-935,Изразец,изразец,Керамика,керамика,керамика,Фрагмент,фрагмент,ok,False,False,False,single-fragment,0.305528,white,True,False
val_gold,dataset/КБ-2014-Р6-137_orig.jpg,КБ-2014-Р6,крышка,крышка,3,0.9558081030845642,0.9558081030845642,0.23360994458198547,0.92845618724823,0.04519808664917946,True,фарфор_фаянс,0.9374319314956665,фрагмент,0.5159839391708374,КБ-2014-Р6-137,Крышка,крышка,Фарфор,фарфор,фарфор_фаянс,Целый,целый,group_conflict,False,True,False,multi-view,0.215204,white,True,True
val_gold,dataset/Кроп-2013-243_orig.jpg,Кроп-2013-243,тарелка,тарелка,6,0.9526175260543823,0.9526175260543823,0.25324323773384094,0.9254512190818787,0.04854179173707962,True,фарфор_фаянс,0.9787541031837463,фрагмент,0.9987369179725647,Кроп-2013-243,Тарелка,тарелка,Керамика,керамика,керамика,Фрагмент,фрагмент,ok,False,False,False,multi-view,0.390022,white,False,False
