group_key,image_file,max_entropy,min_confidence,min_margin,layout_mode,foreground_ratio,bg_type
Нц-33-0703,dataset/Нц-33-0703_orig.jpg,1.8236782550811768,0.2431240975856781,0.010089367628097534,multi-view,0.418202,white
Нц-45-0273,dataset/Нц-45-0273_orig.jpg,1.7330732345581055,0.2889083921909332,0.025764793157577515,single-fragment,0.274693,white
КБ-2014-Р3,dataset/КБ-2014-Р3-0252_orig.jpg,1.7187997102737427,0.25887399911880493,0.012128844857215881,multi-view,0.267405,white
БП12-Г01-7271,dataset/БП12-Г01-7271_orig.jpg,1.7066903114318848,0.3339405059814453,0.10566745698451996,multi-view,0.315377,white
Нц-26-027,dataset/Нц-26-027_orig.jpg,1.6719704866409302,0.305264413356781,0.0034137368202209473,single-fragment,0.435531,white
БП12-Г01-0956,dataset/БП12-Г01-0956_orig.jpg,1.6507290601730347,0.30015793442726135,0.011026591062545776,multi-view,0.31109,white
Нейш3А-2018-0629,dataset/Нейш3А-2018-0629_orig.jpg,1.6371793746948242,0.36610695719718933,0.11965247988700867,single-fragment,0.747921,mixed
БП12-Г02-1735,dataset/БП12-Г02-1735_orig.jpg,1.6310784816741943,0.3561666011810303,0.06775560975074768,multi-view,0.300789,white
Нц-45-0416,dataset/Нц-45-0416_orig.jpg,1.6308737993240356,0.337965726852417,0.06247854232788086,single-fragment,0.325623,white
БП12-Г02-3927,dataset/БП12-Г02-3927_orig.jpg,1.6262246370315552,0.3867621421813965,0.1676218956708908,multi-view,0.308059,white
